POPESTIMATE2019,COUNTYNAME,STATEFP,COUNTYFP
106272,"Madison County, Mississippi",28,089
14361,"Calhoun County, Mississippi",28,013
24573,"Marion County, Mississippi",28,091
19383,"Tishomingo County, Mississippi",28,141
35294,"Marshall County, Mississippi",28,093
22786,"Leake County, Mississippi",28,079
43909,"Washington County, Mississippi",28,151
12586,"Lawrence County, Mississippi",28,077
17103,"Chickasaw County, Mississippi",28,017
9947,"Carroll County, Mississippi",28,015
20183,"Wayne County, Mississippi",28,153
12108,"Yalobusha County, Mississippi",28,161
6792,"Quitman County, Mississippi",28,119
55535,"Pearl River County, Mississippi",28,109
155271,"Rankin County, Mississippi",28,121
11973,"Perry County, Mississippi",28,111
10417,"Noxubee County, Mississippi",28,103
29118,"Neshoba County, Mississippi",28,099
34192,"Panola County, Mississippi",28,107
28321,"Tate County, Mississippi",28,137
21018,"Newton County, Mississippi",28,101
28815,"Union County, Mississippi",28,145
25126,"Prentiss County, Mississippi",28,117
4321,"Sharkey County, Mississippi",28,125
22015,"Tippah County, Mississippi",28,139
8210,"Choctaw County, Mississippi",28,019
47632,"Hancock County, Mississippi",28,045
24500,"George County, Mississippi",28,039
13586,"Greene County, Mississippi",28,041
20758,"Grenada County, Mississippi",28,043
231840,"Hinds County, Mississippi",28,049
28065,"Copiah County, Mississippi",28,029
74897,"Forrest County, Mississippi",28,035
6990,"Jefferson County, Mississippi",28,063
23390,"Itawamba County, Mississippi",28,057
54019,"Lafayette County, Mississippi",28,071
1327,"Issaquena County, Mississippi",28,055
143617,"Jackson County, Mississippi",28,059
58595,"Lowndes County, Mississippi",28,087
28183,"Leflore County, Mississippi",28,083
9632,"Tunica County, Mississippi",28,143
8630,"Wilkinson County, Mississippi",28,157
8988,"Claiborne County, Mississippi",28,021
208080,"Harrison County, Mississippi",28,047
11128,"Jefferson Davis County, Mississippi",28,065
74125,"Lauderdale County, Mississippi",28,075
34153,"Lincoln County, Mississippi",28,085
28124,"Scott County, Mississippi",28,123
26658,"Simpson County, Mississippi",28,127
17955,"Winston County, Mississippi",28,159
29690,"Yazoo County, Mississippi",28,163
18174,"Attala County, Mississippi",28,007
30628,"Bolivar County, Mississippi",28,011
63343,"Lamar County, Mississippi",28,073
85436,"Lee County, Mississippi",28,081
39288,"Pike County, Mississippi",28,113
13809,"Tallahatchie County, Mississippi",28,135
15916,"Smith County, Mississippi",28,129
18336,"Stone County, Mississippi",28,131
45381,"Warren County, Mississippi",28,149
15541,"Clarke County, Mississippi",28,023
9742,"Kemper County, Mississippi",28,069
9775,"Montgomery County, Mississippi",28,097
49587,"Oktibbeha County, Mississippi",28,105
25110,"Sunflower County, Mississippi",28,133
9689,"Webster County, Mississippi",28,155
36953,"Alcorn County, Mississippi",28,003
30693,"Adams County, Mississippi",28,001
19316,"Clay County, Mississippi",28,025
184945,"DeSoto County, Mississippi",28,033
18636,"Covington County, Mississippi",28,031
8064,"Humphreys County, Mississippi",28,053
8259,"Benton County, Mississippi",28,009
7713,"Franklin County, Mississippi",28,037
22124,"Coahoma County, Mississippi",28,027
16383,"Jasper County, Mississippi",28,061
